Account_ID,accountCategoryCode,customerTypeCode,industryCode,primaryContactId,accountNumber,name,revenue,stateCode,account_start_dt,Account_end_dt
149,Savings Account,Individuals Joint,5,6059,HR37 1711 5403 9974 5036 7,Lisabeth Nutten,459763,active,6/2/2019,3/31/2022
310,CID,Limited Liability,8,6031,FR05 2949 8241 137G DMMB DPMG P32,Sonia Tyzack,758983,inactive,9/26/2019,3/20/2025
425,CID,Individuals Joint,5,6041,FR31 1650 1356 33MR 4Q14 3VPF E47,Ellary Slayny,721008,active,9/6/2019,7/18/2026
170,Savings Account,Clubs and Associations,9,6064,DO16 8W8F 5635 1098 8540 5379 3813,Bernarr Donaho,396589,inactive,10/30/2015,4/3/2026
63,Checking Account,Trusts,6,6071,MU49 TLYG 9730 8845 2013 7584 240J KK,Wittie Ruberry,724093,active,12/28/2016,12/18/2021
127,Savings Account,Partnership Firms,8,6001,GE85 JS63 6475 5714 0506 12,Roselle Tolerton,724621,active,1/13/2018,8/8/2024
232,CID,Clubs and Associations,8,6069,FI50 3619 1670 4626 74,Ermin Jeschner,128881,active,10/14/2015,7/12/2024
901,Savings Account,Partnership Firms,5,6011,LU21 648D XV14 PNGI D6J8,Hyacinth Maleham,767434,active,9/22/2015,9/17/2025
652,Checking Account,Partnership Firms,6,6090,ES32 5915 4700 3909 6006 2270,Jacinthe Georgelin,902683,active,10/15/2018,7/1/2023
762,Savings Account,Limited Liability,6,6067,GB39 VNGH 2233 4048 1479 62,Obediah Hatchell,347981,inactive,6/28/2020,12/30/2022
387,Checking Account,Clubs and Associations,4,6086,EE12 2248 2131 3839 8665,Valeria Kissock,396154,inactive,11/5/2019,9/20/2025
577,CID,Partnership Firms,5,6054,GB57 CIUQ 9544 8286 2553 26,Marguerite Cackett,774838,active,8/3/2020,9/20/2025
299,CID,Trusts,8,6059,BG31 XRXX 5728 12VA QNLR JN,Wilfred Haime,474806,inactive,9/4/2019,9/6/2025
450,Savings Account,Partnership Firms,6,6023,FR85 9873 5056 32H0 BJAS BHMV K94,Ediva Fane,472226,inactive,7/3/2019,8/9/2027
315,CID,Limited Liability,9,6074,SM76 M967 3721 809W IQHB 2LKC BJ7,Nicola Saggers,972980,active,1/3/2018,5/23/2023
564,CID,Clubs and Associations,8,6078,BG94 GUAX 4643 90U0 TEXE RS,Gare Benfield,593576,inactive,12/8/2019,6/14/2025
862,Checking Account,Limited Liability,4,6023,AL37 1970 8905 2GVZ JOQJ 3RSD TXKQ,Brooks Itzcovichch,357739,inactive,3/24/2020,9/8/2022
427,Checking Account,Clubs and Associations,6,6020,LB84 3154 06GH VAMZ XHVK 2JSP WMCP,Juanita Smallpiece,217515,inactive,8/6/2015,4/2/2026
698,CID,Clubs and Associations,9,6009,DE89 9201 7717 6130 2100 29,Kearney Binne,982979,active,7/21/2015,10/31/2027
842,Savings Account,Trusts,8,6033,FR51 5367 7062 07OF GC36 JZ5A C65,Jonathan Espadero,590892,inactive,12/16/2018,4/30/2024
220,Savings Account,Clubs and Associations,5,6032,GL66 8404 1980 3261 21,Goldarina Leverson,815319,active,6/7/2018,11/30/2027
753,Savings Account,Limited Liability,6,6055,GL62 0594 3732 5081 25,Gisela Tregaskis,,inactive,10/5/2016,1/2/2023
722,Savings Account,Companies,4,6095,AZ33 HNUX XN6I UQRW TDNT ISV9 LWXC,Lonni Claeskens,642369,inactive,12/16/2016,6/17/2022
612,Savings Account,Partnership Firms,4,6099,FR63 6067 6667 49QE EJGR FOSO G36,Rochette Augustus,,active,4/9/2017,12/4/2024
469,CID,Clubs and Associations,6,6090,BA35 2740 8903 8702 4027,Jon Bethell,871132,active,7/24/2018,6/12/2023
737,CID,Partnership Firms,5,6031,MC79 8959 6657 31ZB 7NWM 5CO8 Y41,Magnum Streatfield,649469,active,3/4/2017,1/25/2022
121,Savings Account,Limited Liability,6,6017,FR19 6340 0463 720G FF1H PPOC H68,Kit Rivett,,active,11/24/2017,4/9/2022
963,Savings Account,Clubs and Associations,4,6099,SA36 53T8 DM2I EVCR WBV3 X94U,Florence Traise,352458,active,8/22/2017,8/28/2026
820,Checking Account,Trusts,5,6016,FR74 3409 2247 348T LSHB THPS Y33,Aurelia Mulderrig,709734,active,8/23/2019,1/8/2026
6,Checking Account,Clubs and Associations,8,6025,IE11 CGDQ 1230 2417 4176 77,Camellia Madigan,828166,active,3/27/2020,4/24/2024
785,Savings Account,Clubs and Associations,4,6040,VG87 CYXQ 3411 5617 7951 1972,Myrta Fright,688269,inactive,3/27/2016,7/21/2024
622,CID,Partnership Firms,5,6085,HU89 0301 9463 1240 4960 9516 5488,Lazare Boraston,953516,active,4/30/2018,9/11/2026
305,Savings Account,Limited Liability,9,6011,FR27 5438 8896 30WE 5KCR X15P O46,Desmund Rein,387654,active,11/6/2015,3/14/2026
614,Checking Account,Partnership Firms,5,6001,AL75 8544 3147 7WAJ P8HF ZPCU GKCR,Cacilia Woolveridge,183407,active,3/16/2017,9/6/2023
680,CID,Trusts,9,6086,IT91 V592 5527 354P 1CTC M8TC QLF,Aili Gerasch,,inactive,5/8/2017,6/29/2022
290,Checking Account,Trusts,4,6010,FR91 4138 9123 17XR PQ5S M3V3 X36,Katy Haselden,240519,active,5/10/2016,1/20/2027
648,Checking Account,Trusts,8,6090,AZ96 MFQL HHAD 8GIF QMKN P1Z5 7AAJ,Laverna Averill,843609,active,12/23/2016,9/8/2026
312,Savings Account,Companies,6,6005,SA22 97HC NFQ7 SYCU 4IM1 0FJV,Katti MacArte,654324,inactive,3/16/2015,6/17/2026
422,CID,Trusts,6,6055,HU65 5400 5678 0901 9836 4721 2022,Grata Kauscher,43667,active,12/6/2020,2/12/2027
196,Savings Account,Clubs and Associations,5,6033,FR28 9075 2289 22MT X5ZB FSS7 H69,Sigfried Wilcher,479513,active,6/25/2016,2/21/2023
758,Checking Account,Clubs and Associations,5,6100,FR48 9781 5702 68FT LLQJ PEKR O81,Bryant Eberle,830139,inactive,8/9/2016,10/18/2023
224,CID,Trusts,4,6095,KZ82 189I QJRU MWUK 19KF,Malvina Bellee,885745,active,5/22/2015,1/5/2022
733,Checking Account,Trusts,8,6033,GR68 4035 123C ZWPQ CJOX PYUR 9S2,Pauly Antat,948271,inactive,1/2/2019,5/3/2022
535,Savings Account,Trusts,8,6074,GL47 9583 0478 0901 23,Maye Danby,365269,inactive,3/23/2020,4/27/2026
57,CID,Trusts,8,6016,FR74 4118 3434 854B Z7ZG FVQR B96,Ivy Cluderay,,active,3/17/2016,6/7/2024
976,CID,Limited Liability,9,6031,KZ79 732Q HY8B TTDQ JTDB,Armando Millthorpe,12216,inactive,6/18/2018,1/24/2027
65,CID,Companies,9,6068,TN59 5752 9085 0735 9781 7100,Debera Coard,145228,active,4/18/2019,7/25/2024
928,CID,Companies,5,6038,FR40 7813 0268 67GZ PNAM TN3E Z58,Cody Casel,14653,inactive,6/24/2016,3/11/2025
779,Checking Account,Trusts,5,6050,GT79 4L3W 6DRN ZG3A P2GR 7HEO AABH,Buckie Danneil,830430,inactive,11/26/2015,11/30/2022
15,Checking Account,Clubs and Associations,6,6096,AZ81 AWWG M0BQ HIN8 YPLQ 1SJP OX2Y,Ingmar Saxby,528147,inactive,2/2/2015,1/3/2022
934,Savings Account,Trusts,9,6014,BH17 JFBG UV3H W9YS 3D6B FK,Gerianna Kanwell,726571,inactive,1/24/2020,7/26/2026
164,CID,Companies,6,6035,GE11 IR86 8006 1297 2711 71,Westley Seckington,392420,inactive,1/31/2016,12/30/2022
375,CID,Individuals Joint,8,6050,FR05 7095 0088 12G4 BVL7 V6M5 P96,Lorianna Learmouth,160615,active,3/10/2020,6/19/2022
207,Checking Account,Clubs and Associations,8,6039,FR58 5379 6613 58OA 4JAH GKCZ H24,Farlay Cordeau],68461,active,10/6/2016,12/23/2023
323,Checking Account,Companies,9,6053,CH41 3710 7UJD OYQH UQ40 C,Eugine Grigorushkin,254232,inactive,2/14/2020,9/12/2024
670,Checking Account,Partnership Firms,4,6035,GB46 KSSA 4329 8861 8930 23,Bridie Corstan,654461,active,1/28/2020,3/28/2025
730,CID,Partnership Firms,8,6050,KW79 ITAE SE3O ETZY ZE2H ULIQ JKLD BP,Zebedee Whitnall,116265,inactive,4/17/2016,6/25/2023
844,Savings Account,Limited Liability,6,6010,FR70 9209 1687 09UY LEYX ZPYX G55,Juliette Jochanany,635860,inactive,3/10/2020,10/22/2024
654,Checking Account,Companies,6,6011,GR19 4770 493D XWFE QJWV B1CP PVL,Tully Hamper,855553,active,9/18/2020,9/23/2022
117,CID,Clubs and Associations,8,6022,MC18 4610 0230 21QU KB6P JF07 T98,Franky Walkingshaw,851788,active,9/22/2017,6/3/2023
125,Checking Account,Clubs and Associations,6,6037,MT06 SKFP 4030 9ROH UAZ6 TIYT ST4G 3S2,Colleen Lamborn,73790,active,4/8/2019,3/12/2027
638,Checking Account,Clubs and Associations,9,,SI66 9490 4739 2190 255,Allys Windram,228456,inactive,3/20/2020,7/5/2025
473,CID,Partnership Firms,9,6050,AE54 1439 4239 6280 0078 296,Davy Petrolli,813016,inactive,6/18/2016,12/2/2024
698,Savings Account,Companies,4,6088,FR38 9639 8020 91ZU YOFR QKWC H41,Dodi Blenkhorn,578993,inactive,11/25/2016,6/12/2023
159,CID,Partnership Firms,9,6006,NO39 8485 6512 884,Sky Lotterington,913639,inactive,3/17/2015,4/13/2027
195,Savings Account,Companies,4,6001,FR05 8165 1682 79Q9 ILW8 IZOW M33,Pammy Vandenhoff,326592,active,12/13/2014,9/2/2023
547,Savings Account,Trusts,8,6041,FO32 4024 4505 8785 41,Bernie Clyma,548419,inactive,8/13/2016,11/16/2023
282,Checking Account,Individuals Joint,8,6002,NL40 ZXMN 2455 9773 67,Dyan Bounds,918276,inactive,4/23/2019,11/29/2026
123,CID,Clubs and Associations,6,6002,CY86 5560 6030 JHND PO0E JDKT AOEM,Cary Culkin,513886,active,1/6/2020,12/1/2027
152,Savings Account,Partnership Firms,5,6095,PT53 9840 2389 0736 6975 9540 4,Rozele Olman,259256,active,6/17/2016,9/25/2026
348,Savings Account,Individuals Joint,5,6032,HU58 5807 7333 9868 2635 2213 6766,Catarina Nerval,170870,inactive,12/9/2015,10/15/2023
403,Checking Account,Clubs and Associations,4,6013,MC85 7233 4865 70SN ORTC JAGL A37,Guillermo Woodyer,274321,active,1/10/2019,2/6/2023
404,Savings Account,Clubs and Associations,6,6050,AL41 2440 0025 4Z60 I5NV HIHL DWVZ,Gaspar Arnke,145241,active,10/1/2019,5/10/2026
153,Checking Account,Companies,9,6078,RO40 ZGKE OTYR FQBU X7JO TCFE,Clair Nicklen,460250,inactive,5/26/2019,10/25/2026
848,Checking Account,Limited Liability,5,6035,SA95 21ZJ HHLC XYFL J5ZZ ZMBY,Levon Drinkel,877148,active,9/25/2018,4/16/2026
476,Checking Account,Partnership Firms,5,6055,GL92 8298 0452 8800 92,Elsa Baggaley,189203,inactive,4/3/2018,3/3/2024
696,Savings Account,Trusts,6,6095,MR68 2367 3427 1123 5381 2840 954,Townsend Dix,305318,inactive,6/13/2015,7/15/2027
132,Savings Account,Limited Liability,4,6084,RO18 QNDJ ANNZ VW1C FYMD YV7U,Tamiko Brooking,110429,inactive,7/9/2019,1/4/2024
510,Checking Account,Trusts,6,6024,LT21 7431 5271 2347 1391,Arline Callendar,324094,active,4/27/2016,12/16/2025
822,Checking Account,Companies,5,6040,NL61 WKKG 6670 6034 75,Maribel Bremeyer,34342,inactive,4/8/2019,8/9/2023
420,CID,Clubs and Associations,9,6070,MC57 6586 2838 00GO 5T4X DZKZ D74,Mano Greenstock,177682,inactive,7/19/2017,5/22/2026
34,Savings Account,Companies,4,6054,EE65 3236 3142 2728 1461,Gwennie Daykin,966565,inactive,7/2/2016,1/10/2024
126,CID,Partnership Firms,5,6050,PT47 2047 3834 7077 9165 0897 8,Morton Branchet,513557,inactive,5/30/2020,11/18/2027
241,CID,Partnership Firms,9,6051,AE75 4791 1250 9363 2519 260,Nerte Amber,798829,active,4/15/2015,5/25/2023
911,CID,Limited Liability,8,6053,AZ20 HTDT BIZK UBCI AWUK CASV E0MN,Booth Aleixo,7837,active,12/8/2016,12/5/2025
111,CID,Companies,9,6081,FI11 7972 6456 1542 25,Connie Gavigan,983303,active,10/20/2015,11/6/2026
920,Checking Account,Limited Liability,9,6008,ES75 6197 2623 4540 1056 2634,Malynda Dring,294239,active,7/24/2016,6/27/2023
273,Savings Account,Clubs and Associations,6,6054,AT14 5072 4611 7096 6644,Minnaminnie Beggi,,inactive,4/21/2019,9/5/2022
640,CID,Individuals Joint,8,6023,LI21 9469 4I7P E057 MVZE E,Oliy Rolinson,944959,inactive,7/21/2017,11/4/2027
732,CID,Companies,6,6069,LV46 ELXJ OZAG DZO2 5QHJ K,Vernen Zini,667991,active,4/3/2015,4/27/2025
744,Savings Account,Partnership Firms,5,6098,AT58 6221 1161 3762 6919,Kiele Marl,729237,inactive,6/9/2016,9/11/2025
876,Checking Account,Individuals Joint,5,6087,DO32 ZDVS 8044 5251 7259 6652 7645,Gerrilee Goodread,96437,active,2/19/2016,8/21/2024
56,CID,Trusts,5,6074,IS19 6965 6014 6926 0851 4543 35,Shauna Gomersall,836543,active,8/11/2015,7/28/2022
211,Checking Account,Companies,9,6063,FR81 6267 1640 222C QZO8 OQHT M43,Jen Slainey,887619,active,4/27/2015,10/28/2027
894,CID,Trusts,4,6065,AZ40 HVBD JFMD J2RZ FMOB 6MAE Z8HM,Travers McCandless,968347,active,1/17/2017,9/26/2023
283,CID,Clubs and Associations,8,6031,TN45 1014 8249 0100 1479 8796,Nanette Ladd,954311,active,7/24/2015,8/20/2026
497,Checking Account,Individuals Joint,6,6077,FR26 1489 1278 06LE ELFU 0BCX C82,Renate Corlett,995236,active,12/17/2016,3/29/2025
723,Checking Account,Individuals Joint,4,6049,GE60 WT31 8415 1385 2109 08,Lorry McLugish,340724,inactive,11/14/2019,8/11/2026
489,Checking Account,Companies,9,6095,FR22 7380 2098 25UN FYNL PXSX 227,Cullie McCreadie,116182,inactive,11/1/2017,4/13/2023
911,Savings Account,Clubs and Associations,4,6064,GR31 4169 432S JTUG HWQ5 5RII DPV,Morgan Monshall,467674,inactive,5/25/2020,10/19/2025
118,Savings Account,Trusts,9,6027,PT17 0287 0688 3012 0648 2369 9,Raffaello Camacho,,active,6/28/2016,6/5/2022
311,Checking Account,Limited Liability,6,6011,SK10 7883 3085 4812 0236 5766,Davina Cranidge,344123,inactive,6/10/2015,12/2/2023
177,CID,Limited Liability,9,6049,MC65 8986 7496 107J 3ZXV PGZO H17,Caryl Hollingby,663684,active,3/22/2020,7/31/2022
481,Savings Account,Partnership Firms,9,6019,CY05 8063 9075 VENN WE7W W5CN YYAI,Erskine Haythorn,342973,active,10/6/2017,3/5/2022
833,Savings Account,Clubs and Associations,5,6071,FR62 6291 3127 02ST SSVE XB4F Y79,Tildie Crunkhorn,791452,inactive,8/9/2020,12/8/2026
88,CID,Partnership Firms,6,6069,MD66 9RHV XSXE QZTH 6C73 WU9Y,Charline Avis,,active,2/28/2020,1/28/2027
529,Checking Account,Companies,8,6070,BH75 ODHP YKLV RBME CQEC XJ,Rosina Pawsey,445049,inactive,11/18/2015,9/24/2022
283,Checking Account,Trusts,4,6050,HR90 0394 5419 6112 0201 4,Illa Bradtke,315908,inactive,2/19/2020,12/27/2023
28,Checking Account,Individuals Joint,6,6065,DO36 2WS8 3074 5252 8107 2317 1937,Niki Berringer,155531,inactive,6/29/2019,4/3/2024
926,CID,Partnership Firms,6,6048,TR37 6175 32OL HLIY 2EZ9 WKOS VB,Anna Goodall,201910,active,6/24/2017,12/24/2021
235,Savings Account,Trusts,4,6011,LI55 2524 3OKV VOXV 1QGT M,Ruddy Hallex,853640,active,5/21/2018,6/19/2023
224,Checking Account,Individuals Joint,4,6011,RS87 5261 0731 7172 6813 47,Leigha Veregan,421519,active,8/5/2015,9/30/2027
961,Checking Account,Limited Liability,8,6012,AT36 3011 8440 6793 1114,Agretha Risby,517102,active,5/23/2019,1/9/2024
922,CID,Trusts,6,6050,DO84 1VSE 1769 4027 7859 9135 0559,Issie Happert,714995,inactive,5/1/2020,2/9/2027
206,CID,Companies,4,6082,SA47 75O9 AQVJ MWDU SW75 YZPJ,Venus Aronoff,,inactive,8/10/2015,12/21/2025
523,Savings Account,Trusts,4,6027,NL97 QVPJ 7672 5563 47,Lulita Edmund,265083,inactive,12/26/2017,11/23/2022
564,Savings Account,Companies,4,6081,IS74 9105 0389 1452 3208 0641 90,Penny Hallgarth,553787,inactive,9/7/2019,7/22/2023
291,CID,Partnership Firms,5,6090,DO62 FCBS 3742 1177 8000 6390 9296,Edgar Verni,820537,active,8/5/2020,9/19/2026
920,Savings Account,Individuals Joint,6,6049,PK51 QWJM M6OR JHCO RJTG OIUK,Spencer Cocci,690715,inactive,8/29/2017,4/12/2023
498,Checking Account,Companies,8,6065,TN42 9450 7859 1371 4322 7571,Dewitt Hartright,982938,active,6/15/2020,12/25/2022
668,CID,Individuals Joint,9,6000,FR50 5982 4876 33WC 27ZO ZS8Y N92,Cicily Tottem,274319,active,12/25/2018,6/21/2025
762,CID,Individuals Joint,5,6093,FR45 7071 4105 03SA W8J2 EPIB N51,Calla Blow,727555,inactive,12/3/2017,10/2/2022
846,Checking Account,Individuals Joint,6,6081,BA98 4005 4415 6971 5537,Ferrel Rands,730635,inactive,4/3/2016,3/29/2026
909,CID,Clubs and Associations,6,6051,MK76 989F CYAN HUQC N25,Oralia Witherington,969877,inactive,8/1/2017,10/14/2026
790,Savings Account,Trusts,5,6090,PT53 3583 9183 6408 9847 3145 3,Rita Stannah,878612,active,12/22/2018,3/14/2024
951,Checking Account,Partnership Firms,6,6031,FR80 8754 9964 20HH 5BRX KGFP C72,Jeannie Bashford,,active,6/25/2018,7/24/2023
406,Savings Account,Clubs and Associations,9,6034,FR48 3969 5938 00Y3 WUBH UVXX F32,Isac Beeken,933456,inactive,11/28/2018,12/8/2023
501,Savings Account,Individuals Joint,8,6062,CR51 1758 4549 4555 9438 2,Dexter Winspear,382332,active,3/19/2018,6/18/2024
788,Checking Account,Companies,4,6013,AD57 9914 3185 MZPN LKFH ILGK,Olympe Kidd,321557,active,5/15/2020,10/29/2022
73,CID,Clubs and Associations,9,6061,MK43 394X D6SI RME8 783,Opalina Bufton,246554,inactive,1/6/2019,4/30/2025
774,Savings Account,Trusts,4,6072,MT14 SFAB 7375 7LIJ FZEM 0AKW CKNW WXU,Robinette Middlebrook,480489,active,8/8/2017,11/29/2025
715,Checking Account,Limited Liability,8,6047,CR42 3662 0208 7319 2379 4,Tobie Goundsy,310227,inactive,11/4/2020,2/10/2022
581,CID,Companies,4,6018,GT66 2PWH UO7R ZUW6 TUUC OXUN SSKL,Dawna Spawton,991805,active,12/8/2016,4/11/2023
478,Savings Account,Partnership Firms,9,6064,CY97 2996 0056 YYNX QBJQ VBJK XNJ1,Adrianne Adrienne,687533,active,9/29/2020,1/27/2022
897,Savings Account,Trusts,6,6098,GE08 UI27 0288 9907 2038 26,Trstram Jurca,683964,inactive,2/23/2017,3/14/2023
685,Checking Account,Companies,6,6049,AD59 5729 6347 ZXGY FRD1 MHGY,Cyrille Brittian,128424,active,6/28/2020,4/26/2024
418,Checking Account,Individuals Joint,4,6048,SI77 2743 4206 1195 651,Noam Rubinowitz,758643,inactive,9/5/2016,2/27/2027
129,Checking Account,Individuals Joint,5,6086,GT07 VRGE 9LVP VLDK F9ZN VHF8 VFIE,Filippa Kenrack,890520,inactive,4/5/2017,11/15/2023
110,CID,Companies,8,6033,FR06 3508 0206 710V IFKD HCE5 D63,Vanya Haking,362324,inactive,11/23/2020,10/11/2022
133,Savings Account,Limited Liability,4,6020,PT47 5205 3343 4927 9684 1293 9,Vivianne Lacknor,142566,inactive,5/29/2016,4/30/2023
541,Savings Account,Individuals Joint,5,6098,RO83 JTBY YVTQ ZOYS LUZ7 VPEO,Hogan Bulpitt,451650,active,3/7/2015,9/29/2023
956,Checking Account,Clubs and Associations,4,6077,FR79 6988 5551 07AQ HLKG NFPD E40,Geoffrey Rossander,175418,inactive,1/31/2018,3/27/2026
690,CID,Individuals Joint,4,6034,PK29 WNCM QDB9 QXKK 4UTK RNX8,Vivianne Krugmann,144548,active,9/15/2017,5/27/2023
401,Checking Account,Clubs and Associations,4,6002,SM38 U672 9894 077X 5HY2 BU03 F7J,Neely Tubby,847604,inactive,12/2/2017,2/4/2027
929,Savings Account,Partnership Firms,6,6045,IE07 BWOR 1053 0384 0306 99,Cecily Bogaert,735518,active,4/6/2019,5/1/2026
187,CID,Trusts,9,6071,MU39 CWJO 1936 6827 2789 9536 538R LF,Cinda Millyard,11737,inactive,6/30/2017,2/16/2022
929,Checking Account,Clubs and Associations,8,6092,DO57 PNBO 7525 9152 1026 4365 5896,Becky Abrahamian,375392,active,11/15/2017,5/23/2025
842,Checking Account,Clubs and Associations,8,6032,SE69 2222 2830 4874 8571 2864,Annamaria Orto,399304,active,3/23/2017,6/16/2025
834,Savings Account,Limited Liability,5,6078,LV15 NYBL 1OWX XRDN ZW5T E,Brynn Alexandre,62246,active,9/13/2018,10/22/2027
165,Checking Account,Clubs and Associations,8,6056,KW97 YHDD YTNY 7MAA SNZY 5VBX 3DFZ ZY,Arleen Challener,376151,active,8/12/2016,4/16/2023
562,CID,Trusts,6,6049,VG46 PDIB 1812 5415 2591 3198,Giulio Bruce,329836,active,10/27/2015,8/19/2022
320,Checking Account,Companies,9,6034,CY42 6216 3646 AKYS JWIW VDWV LROB,Daile Savil,412426,active,11/18/2016,12/15/2023
228,CID,Clubs and Associations,9,6078,AZ88 PSVW B9J8 SMFU O127 ERQG JZ7D,Kelci Hugle,500138,inactive,11/21/2019,11/14/2027
373,Savings Account,Limited Liability,6,,DK80 6753 3129 7689 41,Netta Pickerin,633256,inactive,2/7/2020,12/21/2022
131,Savings Account,Companies,8,6002,PK07 VGHX MC0C 4O4N JQLN SCFX,Johnath Clowsley,132828,active,11/28/2018,3/9/2024
898,CID,Trusts,6,6089,GR79 2205 0342 SUAO HPNR HZJR KPE,Sasha Guilleton,339971,inactive,8/24/2016,9/14/2022
870,Savings Account,Individuals Joint,8,6000,KW46 KDFD 1CVA HOS0 UGBG VI0X 2IE8 UA,Glen Hurley,149709,inactive,8/19/2016,8/6/2024
856,CID,Partnership Firms,6,6087,SE38 0102 2449 8813 2443 3495,Hamlin Dossett,58490,active,11/23/2018,10/20/2023
286,Checking Account,Clubs and Associations,9,6089,RS68 9001 5942 0527 7896 28,Silvester Brabban,301922,active,7/3/2019,11/23/2027
654,Checking Account,Individuals Joint,4,6014,BR24 3304 5083 5224 5595 0788 932T Y,Karilynn Standage,,active,7/24/2018,4/1/2024
523,CID,Limited Liability,8,6024,BE29 0368 5290 1505,Suzi Morales,129708,inactive,6/16/2016,9/25/2025
821,Savings Account,Limited Liability,8,6015,FO52 8453 8780 8430 40,Rhys Touson,370559,inactive,12/15/2014,2/22/2022
686,Checking Account,Clubs and Associations,5,6027,FR25 2298 7370 72HI YLLN 85RP N71,Jerrold Eldin,367905,inactive,7/3/2017,7/4/2026
945,Checking Account,Individuals Joint,5,6016,DE22 2531 1480 5917 2601 59,Tarrance Scragg,802800,inactive,9/29/2019,6/24/2027
502,Savings Account,Companies,6,6039,MR93 5889 5196 5488 3364 3970 108,Persis Lawther,28459,inactive,8/12/2017,4/29/2024
981,Savings Account,Limited Liability,8,6040,SI94 8303 6660 0463 158,Hermie Bunning,125868,inactive,7/16/2016,1/23/2026
432,CID,Companies,9,6080,IE69 WFNL 3463 6649 3212 06,Nissa Clapperton,933361,inactive,11/11/2018,5/9/2024
609,Savings Account,Companies,8,6078,CZ65 4693 5827 3040 3041 1225,Daryle Van Dalen,,inactive,1/10/2015,1/8/2022
889,Checking Account,Clubs and Associations,4,6095,LT72 1822 2183 5386 8030,Lem Leyfield,851069,inactive,8/9/2019,5/27/2024
909,Checking Account,Partnership Firms,9,6057,AD08 8245 9103 JIXP ECUH YDHR,Babbette Timpany,873199,inactive,4/5/2020,1/22/2027
737,Savings Account,Partnership Firms,5,6092,RO52 RJZI 2LPS QXGF EB8N JW5L,Wilbert Tillman,32414,inactive,7/29/2018,11/23/2024
727,CID,Companies,6,6098,PL75 5498 9987 0756 4014 6311 7912,Mirabella Warricker,190022,active,1/18/2015,6/17/2023
716,CID,Trusts,4,6000,CZ02 4152 4595 1831 3834 0404,Rosella Berston,87444,active,1/30/2019,8/1/2025
204,Savings Account,Limited Liability,4,6039,GR44 2235 388D 1OQI SRQK FDEZ FWK,Rutledge Playfoot,449513,active,1/17/2017,3/18/2025
550,Checking Account,Trusts,5,6061,BE46 6077 6734 8834,Umeko Attwood,931495,inactive,7/14/2020,3/14/2022
602,CID,Limited Liability,6,6082,BG45 XOAH 4985 36JA P5F8 HT,Natala Laboune,727419,inactive,1/12/2019,7/20/2026
448,Checking Account,Partnership Firms,6,6074,NL74 ZMQF 4910 0626 89,Ninnette Leason,438506,inactive,1/19/2020,3/31/2024
861,CID,Clubs and Associations,5,6003,PT60 2653 1204 0494 2019 8605 8,Barbara Mattussevich,23554,inactive,10/27/2018,5/9/2022
760,Savings Account,Trusts,5,6011,TR70 9178 3WOM MBXJ PTYV IEKU YU,Teddy Kroll,739375,active,3/13/2016,6/18/2027
526,CID,Partnership Firms,6,6024,CH30 5943 83YT EHYW 3H1J A,Corly Holhouse,634989,inactive,7/3/2016,8/23/2025
729,Savings Account,Companies,9,6011,BR28 0889 1419 6158 7840 7410 892S W,Cissy Effaunt,231801,active,12/30/2014,11/16/2023
848,Savings Account,Partnership Firms,5,6089,AE61 1882 9420 6541 4180 584,Fredia Anfonsi,551698,inactive,12/17/2018,6/19/2024
